200.0,1.188928745410318e-25
200.1,1.4785904796809836e-25
200.2,1.8377192949895613e-25
200.3,2.282707575456276e-25
200.4,2.833752147123239e-25
200.5,3.5157222844295173e-25
200.6,4.359222306820552e-25
200.7,5.401891605623517e-25
200.8,6.689994198099556e-25
200.9,8.280361124282319e-25
201.0,1.024276259035963e-24
201.1,1.2662803210491548e-24
201.2,1.5645453596979448e-24
201.3,1.9319355605792613e-24
201.4,2.384206761237629e-24
201.5,2.9406451294209892e-24
201.6,3.624844375866485e-24
201.7,4.46565099488062e-24
201.8,5.4983131849044064e-24
201.9,6.76587652086442e-24
202.0,8.320878383197346e-24
202.1,1.0227403897312908e-23
202.2,1.2563579063451488e-23
202.3,1.5424592292257818e-23
202.4,1.892635422165463e-23
202.5,2.3209928091235672e-23
202.6,2.844688982532214e-23
202.7,3.484580920018517e-23
202.8,4.2660082086748514e-23
202.9,5.2197390008486316e-23
203.0,6.383111861159328e-23
203.1,7.801413286678375e-23
203.2,9.52953859958522e-23
203.3,1.1633993372032522e-22
203.4,1.4195303840628646e-22
203.5,1.731091825197929e-22
203.6,2.1098697165014243e-22
203.7,2.570110991092658e-22
203.8,3.1290277258331834e-22
203.9,3.807402753738877e-22
204.0,4.630316585562203e-22
204.1,5.628019455166747e-22
204.2,6.836976881784658e-22
204.3,8.301122582024535e-22
204.4,1.007335902399923e-21
204.5,1.2217353582066508e-21
204.6,1.4809687343650433e-21
204.7,1.7942424399115384e-21
204.8,2.1726182217311703e-21
204.9,2.6293798833019e-21
205.0,3.1804710471297633e-21
205.1,3.8450174405246835e-21
205.2,4.645949687250054e-21
205.3,5.610745544845696e-21
205.4,6.7723140196452026e-21
205.5,8.170047913217789e-21
205.6,9.851076215943381e-21
205.7,1.1871753495520688e-20
205.8,1.4299430182491495e-20
205.9,1.7214555609227224e-20
206.0,2.0713175021510876e-20
206.1,2.490989279620093e-20
206.2,2.994138704888636e-20
206.3,3.597057603403445e-20
206.4,4.319155461465663e-20
206.5,5.183544006110787e-20
206.6,6.217729105661979e-20
206.7,7.454429265511724e-20
206.8,8.932543377040466e-20
206.9,1.069829434077885e-19
207.0,1.2806579824952443e-19
207.1,1.5322566850014107e-19
207.2,1.8323573239780787e-19
207.3,2.1901286402366256e-19
207.4,2.616437857597343e-19
207.5,3.1241587800658784e-19
207.6,3.728534569514016e-19
207.7,4.447604690301368e-19
207.8,5.30270711446177e-19
207.9,6.3190687538658065e-19
208.0,7.52649926693508e-19
208.1,8.960205926465045e-19
208.2,1.0661750189129918e-18
208.3,1.26801700423127e-18
208.4,1.5073296196361218e-18
208.5,1.790929482826558e-18
208.6,2.1268474967651958e-18
208.7,2.524540486506661e-18
208.8,2.995138893069796e-18
208.9,3.5517365234545534e-18
209.0,4.209729329541944e-18
209.1,4.987211316211527e-18
209.2,5.905436984250671e-18
209.3,6.989361223719017e-18
209.4,8.268269319675123e-18
209.5,9.776511750456247e-18
209.6,1.1554360790243967e-17
209.7,1.3649008619763168e-17
209.8,1.6115729755792023e-17
209.9,1.9019234193852152e-17
210.0,2.2435241790197284e-17
210.1,2.645231317028738e-17
210.2,3.117397793474632e-17
210.3,3.6721207246721606e-17
210.4,4.323528514842115e-17
210.5,5.0881141308650907e-17
210.6,5.985121750620385e-17
210.7,7.03699511872361e-17
210.8,8.269897210542689e-17
210.9,9.714312259719399e-17
211.0,1.1405742872971552e-16
211.1,1.338551686928917e-16
211.2,1.5701720673600815e-16
211.3,1.841027860729849e-16
211.4,2.1576200294677582e-16
211.5,2.5275021696736454e-16
211.6,2.9594469050069103e-16
211.7,3.463637929501203e-16
211.8,4.0518915498755724e-16
211.9,4.737912140114585e-16
212.0,5.537586562983556e-16
212.1,6.469323345692473e-16
212.2,7.55444323252804e-16
212.3,8.817628689968833e-16
212.4,1.028744102550906e-15
212.5,1.199691501809684e-15
212.6,1.3984242366096054e-15
212.7,1.6293556860975573e-15
212.8,1.8975836017469653e-15
212.9,2.208993596307344e-15
213.0,2.570377874446963e-15
213.1,2.989571388312131e-15
213.2,3.4756079048965212e-15
213.3,4.03889881671518e-15
213.4,4.691437918154016e-15
213.5,5.447035813039062e-15
213.6,6.3215881211691185e-15
213.7,7.333382220429218e-15
213.8,8.503447905163272e-15
213.9,9.855958070362174e-15
214.0,1.141868635569792e-14
214.1,1.3223529615621912e-14
214.2,1.5307104135235805e-14
214.3,1.7711425701681302e-14
214.4,2.0484684984468838e-14
214.5,2.3682131194615912e-14
214.6,2.7367078703147192e-14
214.7,3.161205322840675e-14
214.8,3.65000963756342e-14
214.9,4.2126249761375855e-14
215.0,4.859924271314628e-14
215.1,5.6043410638738805e-14
215.2,6.460087465188554e-14
215.3,7.443401696792891e-14
215.4,8.572829099744312e-14
215.5,9.869541002523842e-14
215.6,1.1357696393183078e-13
215.7,1.3064851966675594e-13
215.8,1.5022426819831928e-13
215.9,1.7266228853234415e-13
216.0,1.9837050821295983e-13
216.1,2.278134496020558e-13
216.2,2.615198623048941e-13
216.3,3.000913545033943e-13
216.4,3.4421214982917956e-13
216.5,3.946601119236945e-13
216.6,4.5231919618097363e-13
216.7,5.181935075565548e-13
216.8,5.934231649865149e-13
216.9,6.793021971462007e-13
217.0,7.772987212756544e-13
217.1,8.890776869167296e-13
217.2,1.0165264999982466e-12
217.3,1.1617838801471674e-12
217.4,1.3272723458264897e-12
217.5,1.5157347683684871e-12
217.6,1.7302754877035216e-12
217.7,1.9744065401559056e-12
217.8,2.2520996127144884e-12
217.9,2.5678444093860424e-12
218.0,2.9267141943754168e-12
